source,target
YCR020C,YLR291C
YCR020CA,YEL053C
YCR020CA,YIL119C
YCR020CA,YKL025C
YCR021C,YDR479C
YCR022C,YDL017W
YCR023C,YMR075CA
YCR024C,YNL243W
YCR027C,YOL083W
YCR035C,YHR114W
YCR036W,YGL153W
YCR045C,YOR348C
YCR050C,YDL017W
YCR051W,YER184C
YCR052W,YFR037C
YCR052W,YOR232W
YCR057C,YGR154C
YCR059C,YDR400W
YCR059C,YJL160C
YCR060W,YHR034C
YCR060W,YKL117W
YCR063W,YDR408C
YCR063W,YOL135C
YCR063W,YPR152C
YCR065W,YML051W
YCR066W,YGL058W
YCR066W,YOR128C
YCR067C,YOR128C
YCR068W,YIR033W
YCR068W,YIR038C
YCR068W,YNL111C
YCR073C,YGR142W
YCR073C,YLR006C
YCR076C,YNL189W
YCR077C,YDL139C
YCR077C,YDL175C
YCR077C,YJL124C
YCR082W,YER022W
YCR082W,YOR023C
YCR083W,YCR086W
YCR083W,YDR448W
YCR086W,YCR086W
YCR086W,YDL089W
YCR086W,YDR061W
YCR086W,YDR439W
YCR086W,YER086W
YCR086W,YER106W
YCR086W,YER144C
YCR086W,YGL175C
YCR086W,YGR155W
YCR086W,YIL152W
YCR086W,YJL110C
YCR086W,YKR010C
YCR086W,YKR034W
YCR086W,YKR068C
YCR086W,YLR291C
YCR086W,YNL311C
YCR086W,YOL020W
YCR086W,YOR264W
YCR086W,YOR281C
YCR087CA,YKR092C
YCR088W,YOR284W
YCR093W,YDR376W
YCR095C,YNL099C
YCR105W,YCR105W
YCR106W,YDR222W
YCR106W,YEL072W
YCR106W,YGL247W
YCR106W,YGR081C
YCR106W,YGR140W
YCR106W,YHR130C
YCR106W,YJL006C
YCR106W,YJL077WB
YCR106W,YJL135W
YCR106W,YMR060C
YCR106W,YMR141C
YCR106W,YNL171C
YCR106W,YPL034W
YCR106W,YPL243W
YCR106W,YPL267W
YCR106W,YPR046W
YDL001W,YDL133W
YDL001W,YMR079W
YDL002C,YER092W
YDL002C,YGL150C
YDL002C,YLR052W
YDL005C,YHR167W
YDL005C,YML051W
YDL006W,YDR162C
YDL011C,YEL023C
YDL012C,YDR151C
YDL012C,YFR047C
YDL012C,YHR032W
YDL012C,YHR140W
YDL012C,YIL172C
YDL012C,YJL065C
YDL012C,YOR355W
YDL013W,YDR510W
YDL013W,YER116C
YDL013W,YJR091C
YDL013W,YMR111C
YDL015C,YIR038C
YDL015C,YOR324C
YDL017W,YDL160C
YDL017W,YEL023C
YDL017W,YFR057W
YDL017W,YGR099W
YDL017W,YJL088W
YDL017W,YKL039W
YDL017W,YNR048W
YDL017W,YOR006C
YDL022W,YDR142C
YDL025C,YPL260W
YDL030W,YDR026C
YDL031W,YPL004C
YDL044C,YLR386W
YDL045C,YGR077C
YDL053C,YGR178C
YDL055C,YDR510W
YDL056W,YMR197C
YDL057W,YJL058C
YDL057W,YLR098C
YDL057W,YPL049C
YDL063C,YDR381W
YDL063C,YPL131W
YDL064W,YDR510W
YDL065C,YGR119C
YDL065C,YGR218W
YDL065C,YLR071C
YDL065C,YMR047C
YDL065C,YMR163C
YDL066W,YGL187C
YDL070W,YLR227C
YDL070W,YLR399C
YDL070W,YMR227C
YDL070W,YNR034W
YDL071C,YDR183W
YDL071C,YEL068C
YDL071C,YFL017C
YDL071C,YGR269W
YDL071C,YNL155W
YDL072C,YML029W
YDL073W,YER118C
YDL076C,YLR098C
YDL081C,YGR209C
YDL081C,YLR340W
YDL081C,YPR086W
YDL084W,YDL084W
YDL084W,YDR510W
YDL084W,YER063W
YDL084W,YGL122C
YDL084W,YKL214C
YDL088C,YML031W
YDL088C,YMR153W
YDL089W,YDL089W
YDL089W,YDR233C
YDL089W,YLR324W
YDL089W,YML008C
YDL089W,YMR316CB
YDL089W,YPR028W
YDL090C,YKL019W
YDL090C,YKR048C
YDL090C,YMR139W
YDL092W,YKL122C
YDL097C,YEL009C
YDL098C,YGR075C
YDL100C,YDL121C
YDL100C,YDR304C
YDL100C,YDR513W
YDL100C,YDR526C
YDL100C,YER017C
YDL100C,YER150W
YDL100C,YGL153W
YDL100C,YGR028W
YDL100C,YGR189C
YDL100C,YHL004W
YDL100C,YHR057C
YDL100C,YHR128W
YDL100C,YHR180W
YDL100C,YIL065C
YDL100C,YIL162W
YDL100C,YJL153C
YDL100C,YKL154W
YDL100C,YKR100C
YDL100C,YLR297W
YDL100C,YML101C
YDL100C,YNL149C
YDL100C,YNL199C
YDL100C,YNR067C
YDL100C,YOL018C
YDL100C,YOL111C
YDL100C,YOL126C
YDL100C,YOR164C
YDL100C,YPR075C
YDL101C,YPL269W
YDL105W,YOL034W
YDL106C,YML051W
YDL108W,YGL134W
YDL108W,YNL025C
YDL110C,YKL015W
YDL110C,YOR078W
YDL111C,YGR158C
YDL113C,YJL036W
YDL116W,YDR113C
YDL116W,YKR082W
YDL117W,YMR032W
YDL118W,YLR295C
YDL120W,YDR100W
YDL120W,YMR071C
YDL125C,YHL018W
YDL126C,YDL190C
YDL126C,YFL044C
YDL126C,YGL108C
YDL126C,YMR067C
YDL126C,YNL155W
YDL127W,YDR146C
YDL130W,YKL002W
YDL130W,YLR287C
YDL130W,YLR340W
YDL132W,YLR267W
YDL132W,YOL133W
YDL133CA,YKR048C
YDL134C,YHR114W
YDL134C,YMR028W
YDL134C,YPR040W
YDL135C,YLR229C
YDL139C,YGL153W
YDL144C,YDL144C
YDL144C,YDR088C
YDL144C,YLR291C
YDL146W,YKL070W
YDL147W,YJR091C
YDL149W,YLR065C
YDL150W,YKR025W
YDL153C,YNL280C
YDL154W,YFL003C
YDL154W,YGL025C
YDL154W,YGL170C
YDL154W,YIL144W
YDL154W,YMR224C
YDL155W,YPL124W
YDL160C,YEL015W
YDL160C,YGR178C
YDL160C,YOL149W
YDL161W,YOR111W
YDL164C,YDR100W
YDL164C,YGL053W
YDL164C,YNL044W
YDL165W,YGR014W
YDL165W,YKL002W
YDL166C,YER047C
YDL166C,YNL329C
YDL168W,YER081W
YDL184C,YKR048C
YDL188C,YMR028W
YDL188C,YPR040W
YDL189W,YDR480W
YDL189W,YIL122W
YDL189W,YLR186W
YDL189W,YPL049C
YDL190C,YFL044C
YDL190C,YMR276W
YDL195W,YIL109C
YDL195W,YLR208W
YDL203C,YGR058W
YDL203C,YOR372C
YDL203C,YPL124W
YDL204W,YER118C
YDL207W,YDR192C
YDL208W,YDR510W
YDL208W,YHR072WA
YDL208W,YLR175W
YDL208W,YNL124W
YDL209C,YLL036C
YDL210W,YGL230C
YDL212W,YDR508C
YDL212W,YPL094C
YDL215C,YLR432W
YDL215C,YPR048W
YDL216C,YMR025W
YDL217C,YHR114W
YDL218W,YGL044C
YDL220C,YDR082W
YDL224C,YER059W
YDL226C,YER118C
YDL226C,YGL198W
YDL226C,YGR172C
YDL226C,YJL151C
YDL226C,YKR088C
YDL226C,YOL129W
YDL226C,YOR327C
YDL226C,YPR113W
YDL226C,YPR183W
YDL235C,YLR006C
YDL236W,YDL236W
YDL236W,YNL189W
YDL237W,YPR148C
YDL239C,YDR148C
YDL239C,YDR176W
YDL239C,YDR273W
YDL239C,YDR520C
YDL239C,YGL153W
YDL239C,YGR268C
YDL239C,YHR184W
YDL239C,YKL103C
YDL239C,YKR034W
YDL239C,YLR072W
YDL239C,YLR098C
YDL239C,YLR423C
YDL239C,YML042W
YDL239C,YNR012W
YDL239C,YOL091W
YDL239C,YOR304CA
YDL239C,YOR324C
YDL239C,YOR380W
YDL239C,YPL049C
YDL239C,YPL070W
YDL239C,YPL124W
YDL239C,YPL255W
YDL246C,YDL246C
YDL246C,YJR159W
YDR001C,YLR270W
YDR002W,YKR048C
YDR004W,YDR076W
YDR005C,YER081W
YDR008C,YJR091C
YDR013W,YDR489W
YDR013W,YPR135W
YDR016C,YDR320CA
YDR016C,YGL061C
YDR016C,YGR113W
YDR016C,YKR037C
YDR017C,YDR099W
YDR020C,YDR020C
YDR020C,YNR012W
YDR022C,YLR423C
YDR026C,YDR110W
YDR027C,YFL029C
YDR032C,YDR032C
YDR032C,YLR291C
YDR034C,YER043C
YDR034C,YGR113W
YDR036C,YGL153W
YDR036C,YKL142W
YDR036C,YLR397C
YDR044W,YDR044W
YDR044W,YDR077W
YDR045C,YDR448W
YDR045C,YIL122W
YDR047W,YDR047W
YDR051C,YDR051C
YDR051C,YLR291C
YDR052C,YLR423C
YDR054C,YNL236W
YDR059C,YPR093C
YDR063W,YDR124W
YDR063W,YKR034W
YDR070C,YFL017C
YDR073W,YML068W
YDR074W,YER019CA
YDR076W,YER095W
YDR078C,YHL006C
YDR078C,YIL152W
YDR078C,YJL092W
YDR082W,YLR010C
YDR084C,YGL127C
YDR084C,YGL161C
YDR084C,YGL198W
YDR085C,YLR423C
YDR086C,YPR071W
YDR091C,YLR192C
YDR092W,YGL087C
YDR098C,YGL071W
YDR098C,YGL220W
YDR099W,YKL168C
YDR099W,YLR177W
YDR099W,YNL042W
YDR099W,YPL267W
YDR100W,YDR100W
YDR100W,YDR479C
YDR100W,YER101C
YDR100W,YGR177C
YDR100W,YGR223C
YDR100W,YHR105W
YDR100W,YJL104W
YDR100W,YKL003WA
YDR100W,YLR108C
YDR100W,YLR393W
YDR100W,YML029W
YDR100W,YML110C
YDR100W,YMR024W
YDR100W,YMR079W
YDR100W,YNL189W
YDR100W,YNL198C
YDR100W,YNL204C
YDR100W,YNL315C
YDR100W,YOR109W
YDR100W,YPL020C
YDR100W,YPL094C
YDR100W,YPL095C
YDR100W,YPL100W
YDR100W,YPL135W
YDR100W,YPL218W
YDR100W,YPR174C
YDR105C,YER081W
YDR106W,YHR129C
YDR107C,YMR070W
YDR108W,YGR234W
YDR113C,YGR098C
YDR115W,YKL142W
YDR121W,YJL065C
YDR122W,YOL082W
YDR123C,YML051W
YDR123C,YOL108C
YDR128W,YLR208W
YDR132C,YDR132C
YDR132C,YFL009W
YDR132C,YHL009C
YDR132C,YHR170W
YDR132C,YJL218W
YDR132C,YJR102C
YDR132C,YPL018W
YDR138W,YKL171W
YDR138W,YLR423C
YDR140W,YIL151C
YDR140W,YNR046W
YDR142C,YGL153W
YDR142C,YGR239C
YDR142C,YHR160C
YDR142C,YIL160C
YDR142C,YMR095C
YDR145W,YLR390W
YDR146C,YDR335W
YDR146C,YML051W
YDR148C,YDR510W
YDR148C,YFR049W
YDR148C,YKL010C
YDR148C,YNL092W
YDR152W,YGR173W
YDR159W,YLR423C
YDR167W,YLR432W
YDR167W,YML015C
YDR167W,YML114C
YDR171W,YDR171W
YDR171W,YDR448W
YDR171W,YDR510W
YDR171W,YOL083W
YDR173C,YMR042W
YDR173C,YMR043W
YDR174W,YDR174W
YDR174W,YDR510W
YDR174W,YIL013C
YDR174W,YKR092C
YDR174W,YML015C
YDR174W,YNL189W
YDR174W,YPR104C
YDR176W,YDR448W
YDR176W,YLR423C
YDR177W,YPR093C
YDR179C,YKR060W
YDR179C,YMR025W
YDR189W,YLR026C
YDR190C,YPL235W
YDR192C,YER081W
YDR194C,YER081W
YDR195W,YGL153W
YDR200C,YMR052W
YDR200C,YNL127W
YDR201W,YIL144W
YDR201W,YKR037C
YDR201W,YKR083C
YDR201W,YNL189W
YDR203W,YJR091C
YDR205W,YNR039C
YDR206W,YER027C
YDR206W,YJL030W
YDR206W,YOL149W
YDR206W,YOR047C
YDR207C,YOL082W
YDR207C,YOR355W
YDR208W,YLR227C
YDR212W,YLR030W
YDR212W,YOR284W
YDR212W,YPL049C
YDR214W,YJL030W
YDR214W,YMR186W
YDR214W,YOL052C
YDR214W,YPL240C
YDR215C,YKR024C
YDR215C,YPL175W
YDR218C,YJR076C
YDR225W,YKR048C
YDR229W,YJR068W
YDR229W,YMR047C
YDR229W,YNL041C
YDR229W,YPL135W
YDR233C,YOR285W
YDR236C,YDR398W
YDR240C,YLR423C
YDR242W,YDR242W
YDR244W,YER056CA
YDR244W,YML042W
YDR244W,YNL044W
YDR245W,YJL183W
YDR252W,YGR134W
YDR255C,YKL144C
YDR256C,YDR256C
YDR256C,YGL153W
YDR256C,YLR291C
YDR256C,YMR033W
YDR256C,YNL189W
YDR256C,YPL070W
YDR259C,YDR311W
YDR259C,YGL181W
YDR259C,YGR066C
YDR259C,YIL153W
YDR259C,YKL071W
YDR259C,YLR423C
YDR259C,YLR447C
YDR259C,YNL092W
YDR261WA,YDR261WA
YDR261WA,YDR261WB
YDR264C,YHR135C
YDR264C,YNL154C
YDR264C,YOR101W
YDR267C,YHR122W
YDR271C,YOR128C
YDR273W,YFR052W
YDR273W,YML051W
YDR277C,YLR447C
YDR279W,YLR154C
YDR284C,YDR284C
YDR284C,YDR479C
YDR284C,YIR038C
YDR284C,YNL111C
YDR284C,YPL094C
YDR284C,YPR071W
YDR292C,YKL154W
YDR292C,YMR163C
YDR296W,YER125W
YDR296W,YLR386W
YDR296W,YPL049C
YDR299W,YER127W
YDR300C,YDR300C
YDR308C,YGL127C
YDR308C,YML051W
YDR308C,YOL135C
YDR308C,YOR174W
YDR311W,YGR120C
YDR311W,YKL028W
YDR311W,YKL103C
YDR311W,YLR288C
YDR311W,YLR423C
YDR311W,YMR294W
YDR311W,YOL082W
YDR312W,YPR143W
YDR313C,YPL133C
YDR314C,YML011C
YDR315C,YJR117W
YDR315C,YLR264W
YDR315C,YLR323C
YDR315C,YOR078W
YDR318W,YNL189W
YDR320CA,YKR083C
YDR321W,YDR321W
YDR323C,YGL095C
YDR326C,YER007CA
YDR326C,YIL105C
YDR328C,YFL009W
YDR328C,YIL046W
YDR328C,YLR267W
YDR328C,YLR352W
YDR328C,YLR368W
YDR328C,YLR429W
YDR328C,YML088W
YDR328C,YMR258C
YDR330W,YDR510W
YDR330W,YGR268C
YDR330W,YKR094C
YDR330W,YOL133W
YDR335W,YLR293C
YDR348C,YMR295C
YDR353W,YGR099W
YDR353W,YGR209C
YDR353W,YHR106W
YDR357C,YGL079W
YDR357C,YLR423C
YDR357C,YPR182W
YDR361C,YER086W
YDR361C,YGL068W
YDR361C,YHR022C
YDR361C,YJR056C
YDR361C,YMR021C
YDR361C,YPL125W
YDR361C,YPL208W
YDR363WA,YJR084W
YDR364C,YLL036C
YDR366C,YER071C
YDR373W,YGL153W
YDR373W,YNL267W
YDR374C,YLR423C
YDR374C,YNR052C
YDR376W,YIR024C
YDR378C,YER146W
YDR378C,YLR438CA
YDR383C,YLR315W
YDR383C,YML051W
YDR383C,YNL189W
YDR386W,YNL024C
YDR386W,YPR119W
YDR388W,YGL060W
YDR388W,YGL090W
YDR388W,YGL181W
YDR388W,YNL094W
YDR388W,YOR181W
YDR388W,YPL077C
YDR389W,YJR091C
YDR394W,YGR232W
YDR394W,YOR117W
YDR397C,YDR397C
YDR397C,YER159C
YDR398W,YMR093W
YDR399W,YDR399W
YDR408C,YGL127C
YDR408C,YOR174W
YDR411C,YDR479C
YDR411C,YJL019W
YDR411C,YML029W
YDR412W,YPR119W
YDR416W,YGR129W
YDR416W,YGR195W
YDR416W,YHL004W
YDR416W,YHR184W
YDR416W,YJR050W
YDR416W,YKL098W
YDR418W,YDR465C
YDR422C,YHR114W
YDR423C,YEL051W
YDR423C,YMR047C
YDR424C,YDR488C
YDR425W,YGL161C
YDR425W,YGL198W
YDR425W,YJL036W
YDR425W,YJR110W
YDR428C,YLR291C
YDR429C,YFL017C
YDR429C,YMR146C
YDR429C,YOR361C
YDR429C,YPL105C
YDR431W,YPL094C
YDR434W,YIR033W
YDR441C,YML022W
YDR446W,YDR510W
YDR448W,YER018C
YDR448W,YGR142W
YDR448W,YGR195W
YDR448W,YGR252W
YDR448W,YGR261C
YDR448W,YHL004W
YDR448W,YHR022C
YDR448W,YJL011C
YDR448W,YJL058C
YDR448W,YJR003C
YDR448W,YLR424W
YDR448W,YML041C
YDR448W,YMR314W
YDR448W,YPL077C
YDR448W,YPL122C
YDR448W,YPL135W
YDR448W,YPR173C
YDR453C,YIL039W
YDR453C,YML028W
YDR453C,YNL189W
YDR455C,YLR295C
YDR460W,YPR025C
YDR465C,YEL054C
YDR469W,YHR060W
YDR469W,YLR015W
YDR469W,YLR432W
YDR472W,YKR068C
YDR473C,YLR423C
YDR473C,YNL229C
YDR473C,YPL004C
YDR473C,YPR178W
YDR476C,YDR479C
YDR476C,YHR211W
YDR476C,YIR038C
YDR476C,YJL019W
YDR477W,YER027C
YDR477W,YGL115W
YDR477W,YGL208W
YDR479C,YEL042W
YDR479C,YER087CA
YDR479C,YGL053W
YDR479C,YGL065C
YDR479C,YGL104C
YDR479C,YGR149W
YDR479C,YGR284C
YDR479C,YHL031C
YDR479C,YJL097W
YDR479C,YJL117W
YDR479C,YJL134W
YDR479C,YJL183W
YDR479C,YLL014W
YDR479C,YLR036C
